"";"adipose";"adrenal_gland";"breast_muscle";"cerebellum";"cerebrum";"gonad";"heart";"hypothalamus";"kidney";"liver";"lung";"lunng";"parietal_nerve";"proventriculus";"spleen"
"chr27_3620289_ID=mir-6708_1";1,46666666666667;0,333333333333333;0,666666666666667;0,0666666666666667;0,8;0,133333333333333;0,266666666666667;0;0,466666666666667;0,533333333333333;2,06666666666667;1,06666666666667;0,4;0,533333333333333;0,866666666666667
"chr6_7966644_ID=mir-1604_1";0,2;0,333333333333333;0,666666666666667;0,0666666666666667;0,8;0,133333333333333;0,266666666666667;0;0,466666666666667;0,533333333333333;0,733333333333333;1,06666666666667;0,4;0,533333333333333;0,866666666666667
"chr19_131661_ID=mir-1651_1";1,33333333333333;0,333333333333333;0,666666666666667;0,0666666666666667;3,73333333333333;0,133333333333333;0,266666666666667;0;0,466666666666667;0,533333333333333;0,733333333333333;1;0,4;0,533333333333333;0,866666666666667
"chr11_1453294_ID=mir-182_1";0,133333333333333;0,333333333333333;0,666666666666667;0,0666666666666667;0,8;0,133333333333333;0,266666666666667;0;0,466666666666667;0,533333333333333;0,733333333333333;1;0,4;0,533333333333333;0,866666666666667
"chr7_7432710_ID=mir-96_1";0,133333333333333;1,66666666666667;0,533333333333333;0,0666666666666667;0,8;2,26666666666667;0,933333333333333;0;0,4;0,533333333333333;1,93333333333333;1;0,333333333333333;0,533333333333333;0,866666666666667
"chrZ_10736293_ID=mir-183_1";0,133333333333333;0,333333333333333;0,533333333333333;0,0666666666666667;0,8;0,133333333333333;0,266666666666667;0;0,4;0,533333333333333;0,733333333333333;1;0,333333333333333;0,533333333333333;0,866666666666667
"chr1_20126312_ID=mir-6676_1";1,33333333333333;0,333333333333333;0,533333333333333;0,0666666666666667;0,8;0,0666666666666667;0,2;1,13333333333333;0,4;0,533333333333333;0,733333333333333;0,933333333333333;0,333333333333333;0,533333333333333;0,866666666666667
"chr27_4292623_ID=mir-6629_1";0,133333333333333;0,333333333333333;0,533333333333333;0,0666666666666667;0,8;0,0666666666666667;0,133333333333333;0;0,4;0,533333333333333;0,733333333333333;0,933333333333333;0,333333333333333;0,533333333333333;0,866666666666667
"chr9_23063425_ID=mir-205_1";0,133333333333333;0,333333333333333;0,533333333333333;0;0,8;0,0666666666666667;0,133333333333333;0;0,333333333333333;0,533333333333333;0,733333333333333;0,933333333333333;0,333333333333333;0,533333333333333;0,8
"chr20_8354708_ID=RF01063.1";0,0666666666666667;0,333333333333333;0,533333333333333;0;0,8;0,0666666666666667;0,133333333333333;0;0,333333333333333;0,466666666666667;0,733333333333333;0,933333333333333;0,333333333333333;0,466666666666667;0,8
"chr2_56259758_ID=mir-6659_1";0,0666666666666667;0,333333333333333;0,533333333333333;0;0,8;0,0666666666666667;0,133333333333333;0;0,333333333333333;0,466666666666667;1,93333333333333;0,933333333333333;0,333333333333333;0,466666666666667;0,8
"chr5_41903370_ID=mir-6621_1";0,0666666666666667;0,333333333333333;0,533333333333333;0;0,733333333333333;1;0,133333333333333;0;0,333333333333333;0,466666666666667;0,733333333333333;0,933333333333333;0,333333333333333;0,466666666666667;0,8
"chr1_77618361_ID=mir-29_1";0,0666666666666667;0,333333333333333;0,533333333333333;0;0,733333333333333;0,0666666666666667;0,0666666666666667;0;0,333333333333333;0,466666666666667;0,733333333333333;0,933333333333333;0,333333333333333;0,466666666666667;0,8
"chr12_18073841_ID=mir-3556_1";0,0666666666666667;0,266666666666667;0,466666666666667;0;0,733333333333333;0,0666666666666667;0,0666666666666667;0;0,333333333333333;0,4;0,733333333333333;0,933333333333333;0,333333333333333;0,4;0,8
"chr8_2680693_ID=mir-1626_1";0,0666666666666667;0,266666666666667;0,466666666666667;0;0,733333333333333;0,0666666666666667;0,0666666666666667;0;0,333333333333333;0,4;0,666666666666667;0,933333333333333;0,333333333333333;0,4;0,8
"chr2_120815030_ID=mir-1596_1";0,0666666666666667;0,266666666666667;0,466666666666667;0;0,733333333333333;0;0,0666666666666667;0;0,333333333333333;0,4;0,666666666666667;0,866666666666667;0,333333333333333;0,4;0,8
"chr11_1713513_ID=mir-1460_1";0,0666666666666667;0,266666666666667;0,466666666666667;0;0,733333333333333;0;0,0666666666666667;0;0,333333333333333;0,4;0,666666666666667;0,866666666666667;0,266666666666667;0,4;0,8
"chr12_6077661_ID=RF02271.1";0;0,266666666666667;0,4;1,33333333333333;0,733333333333333;0;0,933333333333333;0;1,46666666666667;0,333333333333333;0,666666666666667;0,866666666666667;0,266666666666667;0,333333333333333;0,8
"chr9_8205756_number=45";0;0,2;0,4;0;0,733333333333333;0;0,0666666666666667;0;0,333333333333333;0,333333333333333;0,533333333333333;0,866666666666667;0,266666666666667;0,333333333333333;0,733333333333333
"chr8_11466712_ID=mir-2126_1";0;0,133333333333333;0,4;0;0,733333333333333;0;0,0666666666666667;0;0,333333333333333;0,333333333333333;0,533333333333333;0,866666666666667;0,266666666666667;0,333333333333333;0,733333333333333
